序号,ID,标题,类型标签,网盘类目,年份,模块,是否已提取百度链接,转存状态,提取码,解压密码,云桥链接,百度链接,备注
706,45796,Maya创建高达角色课程 Creating a Gundam Character in Maya 2022,模型教程、Maya教程,Maya教程,2022,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=c3FnOVFGNnc1Z0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
707,44843,为游戏创建高级装饰片纹理 Creating Advanced Trim Sheet Textures for Games,贴图素材,贴图素材,2022,材质贴图,无,pending,YQ10461,yunqiaonet,https://www.yunqiaonet.com/goto?down=Y2RwYklhb2o4NTNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
708,40256,InventorCAM 2022 SP3 HF2,综合教程,综合教程,2022,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=R2F1bk0wTWw4RStsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
709,40090,Blender头发制作插件Hair Tool,Blender教程,Blender教程,2022,软件插件,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=UTFnb3NGU1VRSnVsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
710,30302,小木C4D+OC渲染视频教程,视频教程、C4D教程,C4D教程,2022,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=SzY4cmJjOXNnZ0xTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
711,30099,Altair Inspire 2022.3.1 破解版,软件教程,软件教程,2022,软件插件,无,pending,YQ8122,yunqiaonet,https://www.yunqiaonet.com/goto?down=RjRuNzJiR2tpOGlsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
712,24240,Keyshot Material Mastery,贴图素材,贴图素材,2022,材质贴图,无,pending,YQ11158,yunqiaonet,https://www.yunqiaonet.com/goto?down=b21SNjl5SjZWZzNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
713,77165,Maya动画制作课程 The Gnomon Workshop – Animating Characters for Feature Films,模型教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ14917,yunqiaonet,https://www.yunqiaonet.com/goto?down=aVdPWGJraVE4MTNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
714,77150,从Maya到Unreal的大规模人群模拟技术 The Gnomon Workshop – Simulating Crowds with Golaem & Maya,UE教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,yq14915,yunqiaonet,https://www.yunqiaonet.com/goto?down=SU4wQm9IZ2VYWlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
715,77146,行业速成：用Python打通数据分析与机器学习全流程 Python for Data Analysis in Industry: A Crash Course,AI教程、软件教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TDNTZFIzc1o1U2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
716,77142,从零启程：用 Godot 4 打造你的第一款 2.5D 游戏 Create a 2.5D Game in Godot 4 – Beginner’s Guide,综合教程,综合教程,2024以后,教程课程,无,pending,yq14908,yunqiaonet,https://www.yunqiaonet.com/goto?down=RFdQNnFJQ0tGNWJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
717,77103,使用Houdini创建程序化环境并导入Unreal Engine 5全流程教程,UE教程、模型教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,yq14088,yunqiaonet,https://www.yunqiaonet.com/goto?down=emlGUnNsZHFzTGJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
718,77097,Substance Painter与UE5建筑可视化纹理制作指南,UE教程、贴图教程、Substance教程,Substance教程,2024以后,教程课程,无,pending,yq14087,yunqiaonet,https://www.yunqiaonet.com/goto?down=S0N5aVhONmxQaXpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
719,77085,Houdini灯光渲染与合成大师班 Master Lighting and Rendering in Houdini (Solaris + Karma),合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ14081,yunqiaonet,https://www.yunqiaonet.com/goto?down=RkorUGUraTVXYUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
720,77081,向专业人士学习如何精通 ComfyUI x Nano Banana,AI教程,AI教程,2024以后,教程课程,无,pending,yq14079,yunqiaonet,https://www.yunqiaonet.com/goto?down=YVNKSVJ1SWlZT1BTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
721,77019,Nuke高级视效合成大师课 Advanced Compositing in Nuke – Prometheus MasterClass,合成教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,YQ14059,yunqiaonet,https://www.yunqiaonet.com/goto?down=MW1wT0NmMm00Vi9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
722,77014,Maya制作逼真的全速狗奔跑循环动画,Maya教程,Maya教程,2024以后,未分类,无,pending,YQ14057,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZUNhNndiaERZUGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
723,77001,Apple Final Cut Pro v12.0 MacOS,软件教程,软件教程,2024以后,软件插件,无,pending,YQ14055,yunqiaonet,https://www.yunqiaonet.com/goto?down=dSs4Rklnc0dzUnlsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
724,76995,3D+AI设计大师班 Discover 3D+AI CommonPoint Masterclass,AI教程,AI教程,2024以后,教程课程,无,pending,YQ14051,yunqiaonet,https://www.yunqiaonet.com/goto?down=RzRLWkxjL2dBTExTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
725,76986,Houdini程序化动态设计与物理模拟课程 MOTION DESIGN IN HOUDINI,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ14038,yunqiaonet,https://www.yunqiaonet.com/goto?down=U08rVnJ4Qi9ZUWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
726,76980,用Python开发10款AI工具：全栈自动化实战课程 Build 10 AI Tools with Python: Complete Automation Course,AI教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ14033,yunqiaonet,https://www.yunqiaonet.com/goto?down=emRvU2thVlhpTUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
727,76965,Houdini高级摄像机绑定教程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ14025,yunqiaonet,https://www.yunqiaonet.com/goto?down=Uk9CN01YcHdLaG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
728,76961,掌握影视级资产外观开发：数字影棚灯光环境全流程创建教程,模型教程,模型教程,2024以后,教程课程,无,pending,YQ14023,yunqiaonet,https://www.yunqiaonet.com/goto?down=aTVmZ0k0MEhNc3ZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
729,76919,硬表面三维VR机甲设计教程 The Gnomon Workshop – Hard-Surface 3D/VR Mech Design,综合教程,综合教程,2024以后,教程课程,无,pending,YQ14013,yunqiaonet,https://www.yunqiaonet.com/goto?down=MEZCZjZQQmdjcGZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
730,76912,DaVinci Resolve调色插件 RapidGrade 1.4.12 win x64,软件教程、调色教程,综合教程,2024以后,软件插件,无,pending,YQ14012,yunqiaonet,https://www.yunqiaonet.com/goto?down=MWRxTitBQVBZNU9sWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
731,76907,使用Playwright、Python和Pytest进行现代Web测试自动化的从零到精通的课程,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dWtRc2oxKzYwVXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
732,76903,Canva Affinity 3.0.3 MacOS,软件教程,软件教程,2024以后,软件插件,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=OGhhZEYweEt1dWVsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
733,76884,使用Godot 4构建完整的采矿类Roguelite游戏,综合教程,综合教程,2024以后,未分类,无,pending,YQ14010,yunqiaonet,https://www.yunqiaonet.com/goto?down=TTNHdUNBNXpSdTdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
734,76874,机器学习、人工智能和神经网络：完整课程,AI教程,AI教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=cUZyZlVybTlsZ2ZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
735,76868,Learn Python from Scratch: Beginner to Confident Programmer,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Y2EwRUg2Tmw2bFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
736,76866,Adobe Substance 材质库 – 塑料与橡胶,贴图素材、Substance素材,Substance素材,2024以后,材质贴图,无,pending,YQ14002,yunqiaonet,https://www.yunqiaonet.com/goto?down=MTVIc01CWnI5VXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
737,76858,Fender Studio Pro 8.0.0,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=MkZ0ZHBvUVRidHlsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
738,76856,Python机器学习：立即开始构建AI模型,AI教程、模型教程、软件教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Qyt5RVJQSXVmcmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
739,76832,Python数据分析 – Matplotlib、Seaborn、Pandas与NumPy,软件教程,软件教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=SEJISkh3TGpKMi9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
740,76798,国外老鹰Houdini最新灯光渲染课 Christian Bohm’s Houdini Render Course,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13980,yunqiaonet,https://www.yunqiaonet.com/goto?down=eHBRM2licGhTQmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
741,76796,Adobe Substance 金属类别的材质 Adobe Substance Materials – Metal Category,贴图素材、Substance素材,Substance素材,2024以后,材质贴图,无,pending,YQ13978,yunqiaonet,https://www.yunqiaonet.com/goto?down=d3VJcDZzL0Vpa1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
742,76790,Substance Painter材质贴图与纹理绘制入门到精通 Substance Painter – From Beginner to Master,贴图教程、Substance教程,Substance教程,2024以后,教程课程,无,pending,YQ13993,yunqiaonet,https://www.yunqiaonet.com/goto?down=WktWRERURFZvcUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
743,76774,DoubleJump Academy – Recreating the Flesh Portal in Houdini by Patricia Pérez Collado,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ13967,yunqiaonet,https://www.yunqiaonet.com/goto?down=U0J4SzBEdVB4YWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
744,76768,AAA级Unity视觉效果流程：适用于游戏的生产就绪型特效,Unity教程、合成教程,综合教程,2024以后,未分类,无,pending,YQ13969,yunqiaonet,https://www.yunqiaonet.com/goto?down=dHR3aDZ5L1c2NWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
745,76751,动漫风格自然物体背景绘画基础,综合教程,综合教程,2024以后,未分类,无,pending,YQ13955,yunqiaonet,https://www.yunqiaonet.com/goto?down=cjQ4WXExRHJMNFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
746,76737,影视级高精度枪械瞄具建模渲染教程 Elcan SpecterDR 3D Complete Tutorial For Portfolio,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13939,yunqiaonet,https://www.yunqiaonet.com/goto?down=eXNTZlVOTkFZaS9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
747,76713,影视制作实用灯光技术课程 Practical Lighting for Production,综合教程,综合教程,2024以后,教程课程,无,pending,YQ13922,yunqiaonet,https://www.yunqiaonet.com/goto?down=ak54WnU0SFBNL0xTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
748,76693,电影级奇幻生物材质的全流程制作 Fantasy Creature Texturing & Look Dev,贴图教程,贴图教程,2024以后,教程课程,无,pending,YQ13920,yunqiaonet,https://www.yunqiaonet.com/goto?down=UWpYWHRucmcwbkxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
749,76673,Maya城市景观场景设计课程 Cityscape Set Design,模型教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ13917,yunqiaonet,https://www.yunqiaonet.com/goto?down=TkJFL3dQdXVOMjdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
750,76670,Doublejump出品-Houdini海洋模拟实战课程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13913,yunqiaonet,https://www.yunqiaonet.com/goto?down=YVptYUV5SUFuQ3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
751,76652,ZBrush基础入门课程 Introduction to Zbrush,ZBrush教程,ZBrush教程,2024以后,教程课程,无,pending,YQ13908,yunqiaonet,https://www.yunqiaonet.com/goto?down=NkNnbmFTNlhIRG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
752,76646,Fusion入门课程 The Gnomon Workshop – Introduction to Fusion,综合教程,综合教程,2024以后,教程课程,无,pending,YQ13901,yunqiaonet,https://www.yunqiaonet.com/goto?down=WjcrNXN4aVp2c1RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
753,76642,CAVE Academy – Real-Time Automotive Rendering 1001,综合教程,综合教程,2024以后,未分类,无,pending,YQ13902,yunqiaonet,https://www.yunqiaonet.com/goto?down=S1dWZGJOeU1DczdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
754,76620,Maya面部表情动画制作课程 Advanced Facial Blendshape Networks,Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ13899,yunqiaonet,https://www.yunqiaonet.com/goto?down=M2kxeVQ3eFJzODNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
755,76613,Houdini完整的工具创建与工作流自动化课程 Python for Houdini Artists,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13898,yunqiaonet,https://www.yunqiaonet.com/goto?down=d0hHU1MvYzYrbGJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
756,76602,小飞船3D资产制作全流程教程 Little Flying Boat – Tutorial full process,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13895,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZUg0UWdaMjM4b3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
757,76600,“维京战争机器”3D资产制作完整流程 Vikings War Machine – Tutorial full process,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13895,yunqiaonet,https://www.yunqiaonet.com/goto?down=TDlmTm5JOXQ4YlRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
758,76593,老旧科幻枪械3D资产制作全流程 Old Sci-Fi Gun – Tutorial Full Process,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13895,yunqiaonet,https://www.yunqiaonet.com/goto?down=NWdYV08zMHYwdGZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
759,76585,皮革背包建模、UV展开、贴图与渲染全流程,贴图教程、模型教程,综合教程,2024以后,教程课程,无,pending,YQ13895,yunqiaonet,https://www.yunqiaonet.com/goto?down=SDNjNlRtVXhaTERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
760,76578,从参考到最终渲染的Arya Stark 角色全流程制作课程,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13893,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZEtWZWF5TFVZSjdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
761,76574,3D建模工作流基础 3D Modeling Workflow Foundations,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13909,yunqiaonet,https://www.yunqiaonet.com/goto?down=cTFFeXVKaW5RcTdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
762,76562,Houdini中的Solaris工作流程 Solaris Workflows in Houdini,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TDVEcGowaGRyYmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
763,76558,Making cup of tea in Houdini 21 | HIP File,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ13889,yunqiaonet,https://www.yunqiaonet.com/goto?down=TjNKYzkvdzMza1BTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
764,76413,Nuke特效合成大师课 02 Professional compositing techniques,合成教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,YQ13881,yunqiaonet,https://www.yunqiaonet.com/goto?down=K2x5OGhTYVBpaGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
765,76355,Adobe Photoshop: Master AI Tools. 10x Your Workflow,Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=QnRvM3F1UFRla0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
766,76341,Learn AI Python Machine Learning Data Science Big Data,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=aEtNaldnaWRuTlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
767,76335,SolidWorks Flow Simulation Mastery: Hands-On Project Course,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=RlBCemJJai9XWnpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
768,76326,Voxyde – Houdini Sand FX,Houdini教程,Houdini教程,2024以后,未分类,无,pending,YQ13876,yunqiaonet,https://www.yunqiaonet.com/goto?down=V3YvRXU2QzlSalRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
769,76310,Maya三维动画制作教程 Creature Animation Crash Course,Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ13869,yunqiaonet,https://www.yunqiaonet.com/goto?down=dkozd2xkSFduQjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
770,76308,Marvelous Designer服装设计大师课从入门到精通,Marvelous教程,Marvelous教程,2024以后,教程课程,无,pending,YQ13883,yunqiaonet,https://www.yunqiaonet.com/goto?down=NHU4V3dqVm1nS3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
771,76300,Houdini系统学习进阶课程 Christian Bohm’s Houdini FX Course,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13865,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZDFzbU5PY0JjenJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
772,76297,Houdini特效制作案例课程 DoubleJump Academy – Recreating the Driller Scene in Houdini and Redshift,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13866,yunqiaonet,https://www.yunqiaonet.com/goto?down=NDkyczNiTzMxM2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
773,76293,AI 3D建模与游戏资产制作全流程大师课程 Master Course AI 3D Modeling Creation & Game-Ready Workflow,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13870,yunqiaonet,https://www.yunqiaonet.com/goto?down=T09vU2JiZStRalRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
774,76239,AAA级游戏资产全流程制作教程,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13855,yunqiaonet,https://www.yunqiaonet.com/goto?down=eUVKTDBHTTVHcHZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
775,76217,Advanced Sci-Fi Stylized Character Art Course – Part 02 – Game-Ready,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13888,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z3pFTW1WNjJmNWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
776,76192,Maya为动画电影创建完整的角色绑定系统,模型素材、Maya素材,Maya素材,2024以后,模型,无,pending,YQ13832,yunqiaonet,https://www.yunqiaonet.com/goto?down=b3pRSTBNT3RHQWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
777,76190,影视配乐音效素材合集包 Ghosthack x Boom Library Sound FX & Foley Bundle WAV-GTA,音效素材、模型素材,综合素材,2024以后,配乐音效,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ME5WYzkvbHRTdXJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
778,76167,Rohan Dalvi -Texturing in COPs – The lost alien project,综合教程,综合教程,2024以后,未分类,无,pending,YQ13831,yunqiaonet,https://www.yunqiaonet.com/goto?down=clBocjhFQXJSRXpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
779,76160,AAA游戏材质制作课程 FlippedNormals – Material Creation for AAA Games,贴图教程,贴图教程,2024以后,教程课程,无,pending,YQ13829,yunqiaonet,https://www.yunqiaonet.com/goto?down=MjZjNHRpNFJiYXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
780,76158,Houdini动效-Oguz Ozpamuk会员频道课程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13828,yunqiaonet,https://www.yunqiaonet.com/goto?down=M3BGOTVaeW90QmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
781,76156,houdini教程：基于Copernicus的抽象动态设计,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TENQYU9pTDNRM3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
782,76142,Houdini程序化双足角色全流程：从骨骼绑定到机器人实例,AI教程、模型教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13826,yunqiaonet,https://www.yunqiaonet.com/goto?down=YnF3WkJzblBPczNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
783,76137,Houdini角色设计-character design in houdini,模型素材、Houdini素材,Houdini素材,2024以后,模型,无,pending,YQ13825,yunqiaonet,https://www.yunqiaonet.com/goto?down=aFUvVDhFRFVzb1RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
784,76130,3dmax建筑可视化课程 Render Camp PROFESSIONAL_VISUALIZATION_COURSE– Best of PV X3,综合教程,综合教程,2024以后,教程课程,无,pending,YQ13823,yunqiaonet,https://www.yunqiaonet.com/goto?down=V3pQTm1Na1ZOK2ZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
785,76123,Master Lighting and Rendering in Houdini (Solaris + Karma),Houdini教程,Houdini教程,2024以后,教程课程,无,pending,yq14081,yunqiaonet,https://www.yunqiaonet.com/goto?down=alE0dldZWUhVOHpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
786,76119,数字绘画的照明原理 Domestika – Lighting Principles for Digital Painting,综合教程,综合教程,2024以后,未分类,无,pending,YQ13822,yunqiaonet,https://www.yunqiaonet.com/goto?down=VE56ckZEbFovbERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
787,76117,Build an Asteroids-Style Space Shooter in Godot 4,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZnhtTzg2ejJQWkxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
788,76115,全栈Python开发人员训练营,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=cUdsQndPS1VFOFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
789,76070,为剪辑师及叙事者打造的终极音效工具包+使用课程 Film Score Master Bundle,音效教程、模型教程、视频教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ13818,yunqiaonet,https://www.yunqiaonet.com/goto?down=VVNpN25qR2dVU0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
790,76068,Houdini生物绑定课程：Rebelway – Creature Rigging in Houdini,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13805,yunqiaonet,https://www.yunqiaonet.com/goto?down=TWpRNDdDSFIyR25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
791,76054,Houdini大规模海啸与货轮相撞的海洋特效镜头制作教程,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ13811,yunqiaonet,https://www.yunqiaonet.com/goto?down=NnJVQ0VGc2xWT3pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
792,76042,Maya动画高级灯光全流程教学：从布光到合成的Maya与Arnold实战,合成教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ13793,yunqiaonet,https://www.yunqiaonet.com/goto?down=bkNJcitsdENBZUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
793,76040,掌握氛围感角色插画：marumoru的人体解析与高效创作技法课,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13792,yunqiaonet,https://www.yunqiaonet.com/goto?down=OFVTOFYycEdudGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
794,75940,风格化角色艺术基础,模型素材,模型素材,2024以后,模型,无,pending,YQ13777,yunqiaonet,https://www.yunqiaonet.com/goto?down=WTBjSm9GMWsxOHZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
795,75935,a站大神Ahmad Oloumi blender建模3大案例全流程演示课程,模型教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,YQ13766,yunqiaonet,https://www.yunqiaonet.com/goto?down=YkJmWTNWNEpERW5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
796,75933,a站大神Ahmad Oloumi blender建模5大案例课程,模型教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,YQ13775,yunqiaonet,https://www.yunqiaonet.com/goto?down=WHpaRmV6NHoyeUhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
797,75931,3D建模7大产品级模型制作案例全流程实操课程,模型教程,模型教程,2024以后,教程课程,无,pending,YQ13768,yunqiaonet,https://www.yunqiaonet.com/goto?down=R3ZVb0xMQjA4V1RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
798,75926,Kitbash3D – Black Market,综合教程,综合教程,2024以后,未分类,无,pending,YQ13770,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZUpxZmNRYlhVVG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
799,75883,基于Python与FastAPI构建AI简历评分系统,软件教程,软件教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=M3dqeWljdU8ySkRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
800,75848,Riot Principal TA Moonyoung Oh’s AI In-Game & Cinematic Full Production Master Class,综合教程,综合教程,2024以后,教程课程,无,pending,YQ13717,yunqiaonet,https://www.yunqiaonet.com/goto?down=YkZLMWxNczlXNVRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
801,75840,PS与Illustrator美少年角色设计与商业化的全流程指南,模型教程、Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,YQ13733,yunqiaonet,https://www.yunqiaonet.com/goto?down=T2xvalJKQmtBeFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
802,75837,AI时代的Python开发者完全训练营,软件教程,软件教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZVAzZzJqaFlxMDNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
803,75816,全栈AI工程师：Python、机器学习、深度学习与生成式AI课程,AI教程、软件教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dVVCdm9RbG5DUG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
